Name,Enrollment,Number_Routes,Lat,Lng
Baldwin Wallace College,3532,1,41.3711165,-81.847808
Bryant & Stratton: West,308,2,41.4044531,-81.7839097
Bryant & Stratton: Main,475,11,41.50300029,-81.6683218
Case Western Reserve University,5131,5,41.5043413,-81.608383
Chancellor University,0,1,41.4026779,-81.666043
Cleveland Institute of Art,658,2,41.5104949,-81.602463
Cleveland State University,11784,12,41.5025072,-81.674626
Cleveland State University: West Center,500,2,41.46942,-81.9124819
Cleveland State University: Corporate College East,500,2,41.4388044,-81.5022595
CCC: Hospitality Management Center,1000,31,41.4991835,-81.6942671
CCC: Metro,15625,3,41.4457927,-81.501518
CCC: Eastern,7800,2,41.4454441,-81.5038604
CCC: Western,7800,3,41.3687017,-81.764487
Indiana Wesleyan University: South,500,1,41.3990669,-81.6646468
Indiana Wesleyan University: East,0,1,41.398951,-81.662667
John Carroll University,3013,1,41.4544124,-81.601621
Notre Dame College,2100,1,41.5075546,-81.515509
Ohio Technical College,1500,1,41.5182678,-81.659202
Remington College: Main,568,2,41.4229312,-81.5814828
Remington College: West,0,0,41.418281,-81.9159335
South University,99,1,41.4313992,-81.4991614
Ursuline College,621,1,41.4938332,-81.465027
University of Phoenix: Crocker Park,29,3,41.4600752,-81.9549283
University of Phoenix: South,30,1,41.3981961,-81.6561949
University of Phoenix: East,50,1,41.4651451,-81.4967919
Maple Heights High School,1066,1,41.4123811,-81.565495
North Olmsted High School,1179,1,41.4112593,-81.9262769
